172.18.0.1 - - [03/Oct/2023:19:49:04 +0000] "GET /europass2/edci-issuer/assets/images/logo_countries/EN.svg HTTP/1.1" 200 13254
172.18.0.1 - - [03/Oct/2023:19:49:04 +0000] "GET /europass2/edci-issuer/assets/i18n-ecl/en.json HTTP/1.1" 200 5277
172.18.0.1 - - [03/Oct/2023:19:49:04 +0000] "GET /europass2/edci-issuer/assets/i18n-eui/en.json HTTP/1.1" 200 6170
172.18.0.1 - - [03/Oct/2023:19:49:04 +0000] "GET /europass2/edci-issuer/src_app_features_edubadgesAPI_edubadges-api-page_edubadges-api-page_module_ts.1a4d48b5ee573221.js HTTP/1.1" 200 35802
172.18.0.1 - - [03/Oct/2023:19:49:04 +0000] "GET /europass2/edci-issuer/api/v1/users/details?locale=en HTTP/1.1" 200 113
172.18.0.1 - - [03/Oct/2023:20:06:34 +0000] "GET /europass2/edci-issuer/ HTTP/1.1" 302 -
172.18.0.1 - - [03/Oct/2023:20:06:36 +0000] "GET /europass2/edci-issuer/ HTTP/1.1" 200 71508
172.18.0.1 - - [03/Oct/2023:20:06:37 +0000] "GET /europass2/edci-issuer/polyfills.be0c301235067dbc.js HTTP/1.1" 200 45585
172.18.0.1 - - [03/Oct/2023:20:06:37 +0000] "GET /europass2/edci-issuer/runtime.2bff74d071cb202c.js HTTP/1.1" 200 3888
172.18.0.1 - - [03/Oct/2023:20:06:37 +0000] "GET /europass2/edci-issuer/styles.0c44558f3a3a7a6d.css HTTP/1.1" 200 801624
172.18.0.1 - - [03/Oct/2023:20:06:37 +0000] "GET /europass2/edci-issuer/main.ca03eccbb863605f.js HTTP/1.1" 200 2895511
172.18.0.1 - - [03/Oct/2023:20:06:38 +0000] "GET /europass2/edci-issuer/assets/images/logo_countries/EN.svg HTTP/1.1" 200 13254
172.18.0.1 - - [03/Oct/2023:20:06:38 +0000] "GET /europass2/edci-issuer/assets/i18n/en.json HTTP/1.1" 200 71090
172.18.0.1 - - [03/Oct/2023:20:06:38 +0000] "GET /europass2/edci-issuer/assets/i18n-eui/en.json HTTP/1.1" 200 6170
172.18.0.1 - - [03/Oct/2023:20:06:38 +0000] "GET /europass2/edci-issuer/assets/i18n-ecl/en.json HTTP/1.1" 200 5277
172.18.0.1 - - [03/Oct/2023:20:06:38 +0000] "GET /europass2/edci-issuer/common.de5371b41f1190e6.js HTTP/1.1" 200 24279
172.18.0.1 - - [03/Oct/2023:20:06:38 +0000] "GET /europass2/edci-issuer/src_app_features_home_home_module_ts.5ec2d4c88fd75b32.js HTTP/1.1" 200 11897
172.18.0.1 - - [03/Oct/2023:20:06:39 +0000] "GET /europass2/edci-issuer/my-future-section.22288d1ef6372cff.png HTTP/1.1" 200 16355
172.18.0.1 - - [03/Oct/2023:20:06:39 +0000] "GET /europass2/edci-issuer/api/v1/users/details?locale=en HTTP/1.1" 200 113
172.18.0.1 - - [03/Oct/2023:20:06:42 +0000] "GET /europass2/edci-issuer/assets/images/test.svg HTTP/1.1" 200 3345
172.18.0.1 - - [03/Oct/2023:20:06:42 +0000] "GET /europass2/edci-issuer/assets/images/upload.svg HTTP/1.1" 200 1853
172.18.0.1 - - [03/Oct/2023:20:06:42 +0000] "GET /europass2/edci-issuer/assets/images/new-window.svg HTTP/1.1" 200 3860
172.18.0.1 - - [03/Oct/2023:20:06:42 +0000] "GET /europass2/edci-issuer/src_app_features_edubadgesAPI_edubadges-api-page_edubadges-api-page_module_ts.26103ab1234310b7.js HTTP/1.1" 200 36847
172.18.0.1 - - [03/Oct/2023:20:06:44 +0000] "GET /europass2/edci-issuer/assets/favicon.ico HTTP/1.1" 200 198
